title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
Burnt,6.5,3471,20000000,36606743,tt2503944,"[{'id': 18, 'name': 'Drama'}]",295964
Black Mass,6.523,3487,53000000,99975678,tt1355683,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 36, 'name': 'History'}]",261023
Insidious: Chapter 3,6.283,3503,10000000,120453155,tt3195644,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",280092
The Last Witch Hunter,6.003,3735,90000000,146936910,tt1618442,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",274854
Carol,7.495,3851,11800000,40272135,tt2402927,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",258480
Vacation,6.304,3863,31000000,104400000,tt1524930,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",296099
Goosebumps,6.31,3898,58000000,158261424,tt1051904,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",257445
Straight Outta Compton,7.783,4079,28000000,201634991,tt1398426,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 36, 'name': 'History'}]",277216
Legend,7.054,4112,25000000,42972994,tt3569230,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",276907
Home,6.789,4125,135000000,368871007,tt2224026,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",228161
Joy,6.551,4205,60000000,101134059,tt2446980,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",274479
In the Heart of the Sea,6.8,4246,100000000,93900000,tt1390411,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",205775
Steve Jobs,6.8,4261,30000000,34400000,tt2080374,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",321697
The DUFF,6.766,4424,8500000,43528634,tt1666801,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",272693
The Visit,6.323,4981,5000000,98450062,tt3567288,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",298312
Everest,6.827,5079,55000000,203427584,tt2719848,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",253412
Crimson Peak,6.66,5112,55000000,74700000,tt2554274,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",201085
Paper Towns,6.155,5122,12000000,85500000,tt3622592,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",286565
Pitch Perfect 2,6.844,5420,29000000,287144079,tt2848292,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",254470
Southpaw,7.364,5656,30000000,91709827,tt1798684,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",307081
The Good Dinosaur,6.7,5834,175000000,332207671,tt1979388,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",105864
The Danish Girl,7.558,5868,15000000,64200000,tt0810819,"[{'id': 18, 'name': 'Drama'}]",306819
Hotel Transylvania 2,6.8,5969,80000000,473200000,tt2510894,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",159824
Spy,6.832,6229,65000000,235666219,tt3079380,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",238713
Fantastic Four,4.4,6264,120000000,167977596,tt1502712,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",166424
The Lobster,7.037,6611,4000000,15700000,tt3464902,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",254320
The Man from U.N.C.L.E.,7.081,6626,75000000,110045109,tt1638355,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",203801
It Follows,6.59,6691,2300000,23374076,tt3235888,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",270303
The Age of Adaline,7.477,6929,25000000,65663276,tt1655441,"[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",293863
Jupiter Ascending,5.459,6930,176000000,184000000,tt1617661,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",76757
The Intern,7.2,7070,35000000,194564672,tt2361509,"[{'id': 35, 'name': 'Comedy'}]",257211
Bridge of Spies,7.236,7083,40000000,165478348,tt3682448,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",296098
