title,genre_ids,vote_average,vote_count,release_year,id
Bridget Jones's Baby,"[18, 35, 10749]",6.4,3022,2016,95610
Money Monster,"[53, 18]",6.435,3066,2016,303858
Silence,"[18, 36]",7.12,3185,2016,68730
How to Be Single,"[35, 10749]",6.255,3281,2016,259694
Raw,"[27, 18]",7.041,3328,2016,393519
Resident Evil: The Final Chapter,"[28, 27, 878]",6.109,3359,2016,173897
A Monster Calls,"[14, 12, 10751]",7.286,3474,2016,258230
The BFG,"[12, 10751, 14]",6.281,3520,2016,267935
Mechanic: Resurrection,"[28, 80, 53]",6.03,3522,2016,278924
Swiss Army Man,"[35, 18, 10749, 14, 12]",6.926,3665,2016,347031
Teenage Mutant Ninja Turtles: Out of the Shadows,"[28, 12, 35, 10751, 878]",6.052,3675,2016,308531
Kubo and the Two Strings,"[16, 12, 10751]",7.631,3707,2016,313297
Trolls,"[10751, 16, 14, 12, 35, 10402]",6.63,3725,2016,136799
13 Hours: The Secret Soldiers of Benghazi,"[10752, 28, 36, 18, 53]",7.269,3789,2016,300671
Underworld: Blood Wars,"[14, 28, 53, 878, 27]",5.911,3827,2016,346672
The Neon Demon,"[27, 53]",6.51,3843,2016,301365
The Angry Birds Movie,"[16, 12, 35, 10751]",6.246,3845,2016,153518
The Boy,"[27, 9648, 53]",5.968,3863,2016,321258
"Hail, Caesar!","[35, 80, 18, 9648]",5.931,3905,2016,270487
Lights Out,[27],6.365,4016,2016,345911
The Handmaiden,"[53, 18, 10749]",8.197,4090,2016,290098
The Edge of Seventeen,"[35, 18]",7.157,4159,2016,376660
Bad Moms,[35],6.494,4176,2016,376659
Gods of Egypt,"[28, 12, 14]",5.686,4222,2016,205584
A Silent Voice: The Movie,"[16, 18, 10749]",8.386,4268,2016,378064
Why Him?,[35],6.38,4295,2016,356305
Dirty Grandpa,[35],5.936,4500,2016,291870
Snowden,"[18, 36, 80, 53]",7.105,4501,2016,302401
Neighbors 2: Sorority Rising,[35],5.819,4512,2016,325133
Perfect Strangers,"[35, 18]",7.855,4517,2016,381341
The Autopsy of Jane Doe,"[27, 9648]",6.827,4547,2016,397243
Allied,"[28, 18, 10752, 10749, 53]",6.8,4664,2016,369885
Hell or High Water,"[37, 80, 18]",7.301,4686,2016,338766
Hush,"[27, 53]",6.729,4724,2016,376570
Deepwater Horizon,"[18, 28]",6.886,4736,2016,296524
Ice Age: Collision Course,"[12, 16, 10751, 35, 878]",6.1,4762,2016,278154
The Huntsman: Winter's War,"[28, 12, 18]",6.285,4933,2016,290595
London Has Fallen,"[28, 53]",6.2,4942,2016,267860
Jack Reacher: Never Go Back,"[28, 18, 53, 80]",5.992,5132,2016,343611
The Shallows,"[27, 18, 53]",6.351,5216,2016,332567
The Founder,"[18, 36]",7.134,5222,2016,310307
War Dogs,"[35, 80, 18]",6.928,5238,2016,308266
The Great Wall,"[28, 12, 14]",6.028,5376,2016,311324
The Purge: Election Year,"[28, 27, 53]",6.384,5391,2016,316727
Collateral Beauty,"[18, 10749]",7.218,5480,2016,345920
The Girl on the Train,"[80, 9648, 53]",6.441,5881,2016,346685
