title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
Run All Night,6.4,2889,50000000,71561644,tt2199571,241554,"['Action', 'Crime', 'Thriller']",2015
San Andreas,6.2,8820,110000000,473990832,tt2126355,254128,"['Action', 'Drama', 'Thriller']",2015
Self/less,6.412,3211,26000000,31807156,tt2140379,238615,"['Science Fiction', 'Action', 'Thriller']",2015
Sicario,7.415,9182,30000000,84997446,tt3397884,273481,"['Action', 'Crime', 'Thriller']",2015
Sinister 2,5.883,2226,10000000,53329150,tt2752772,283445,['Horror'],2015
Solace,6.427,2311,0,22586863,tt1291570,339527,"['Thriller', 'Crime', 'Mystery']",2015
Southpaw,7.364,5656,30000000,91709827,tt1798684,307081,"['Action', 'Drama']",2015
Spectre,6.6,10917,245000000,880707597,tt2379713,206647,"['Action', 'Adventure', 'Thriller']",2015
Spotlight,7.8,8541,20000000,98690254,tt1895587,314365,"['Drama', 'History']",2015
Spy,6.832,6229,65000000,235666219,tt3079380,238713,"['Action', 'Comedy', 'Crime']",2015
Star Wars: The Force Awakens,7.254,20075,245000000,2068223624,tt2488496,140607,"['Adventure', 'Action', 'Science Fiction']",2015
Steve Jobs,6.8,4261,30000000,34400000,tt2080374,321697,"['Drama', 'History']",2015
Straight Outta Compton,7.783,4079,28000000,201634991,tt1398426,277216,"['Drama', 'Music', 'History']",2015
Ted 2,6.316,7789,68000000,215863606,tt2637276,214756,"['Comedy', 'Fantasy']",2015
Terminator Genisys,5.946,8730,155000000,440603537,tt1340138,87101,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",2015
The Age of Adaline,7.477,6929,25000000,65663276,tt1655441,293863,"['Romance', 'Fantasy', 'Drama']",2015
The Big Short,7.359,9484,28000000,133346506,tt1596363,318846,"['Comedy', 'Drama']",2015
The Boy Next Door,4.919,2089,4000000,52425855,tt3181822,241251,['Thriller'],2015
The DUFF,6.766,4424,8500000,43528634,tt1666801,272693,"['Romance', 'Comedy']",2015
The Danish Girl,7.558,5868,15000000,64200000,tt0810819,306819,['Drama'],2015
The Gift,6.695,3372,5000000,58978653,tt4178092,328425,"['Thriller', 'Mystery', 'Drama']",2015
The Good Dinosaur,6.7,5834,175000000,332207671,tt1979388,105864,"['Adventure', 'Animation', 'Family']",2015
The Hateful Eight,7.756,14812,44000000,155760117,tt3460252,273248,"['Drama', 'Mystery', 'Western']",2015
The Hunger Games: Mockingjay - Part 2,6.899,13025,160000000,653428261,tt1951266,131634,"['Action', 'Adventure', 'Science Fiction']",2015
The Intern,7.2,7070,35000000,194564672,tt2361509,257211,['Comedy'],2015
The Last Witch Hunter,6.003,3735,90000000,146936910,tt1618442,274854,"['Action', 'Adventure', 'Fantasy']",2015
The Little Prince,7.611,2887,64000000,97571250,tt1754656,309809,"['Adventure', 'Animation', 'Fantasy', 'Family']",2015
The Lobster,7.037,6611,4000000,15700000,tt3464902,254320,"['Comedy', 'Drama', 'Romance']",2015
The Longest Ride,7.6,3254,34000000,63013281,tt2726560,228205,"['Drama', 'Romance']",2015
The Man from U.N.C.L.E.,7.081,6626,75000000,110045109,tt1638355,203801,"['Comedy', 'Action', 'Adventure']",2015
The Martian,7.691,20590,108000000,631058917,tt3659388,286217,"['Drama', 'Adventure', 'Science Fiction']",2015
The Revenant,7.537,18785,135000000,532950503,tt1663202,281957,"['Western', 'Drama', 'Adventure']",2015
The SpongeBob Movie: Sponge Out of Water,6.1,2453,74000000,325186032,tt2279373,228165,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",2015
The Visit,6.323,4981,5000000,98450062,tt3567288,298312,"['Horror', 'Thriller']",2015
The Walk,6.995,3297,35000000,61181942,tt3488710,285783,"['History', 'Drama', 'Adventure']",2015
Tomorrowland,6.3,7196,190000000,209200000,tt1964418,158852,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",2015
Trainwreck,5.797,2656,35000000,140795793,tt3152624,271718,"['Comedy', 'Romance']",2015
Vacation,6.304,3863,31000000,104400000,tt1524930,296099,"['Comedy', 'Adventure']",2015
Victor Frankenstein,5.948,2202,40000000,34200000,tt1976009,228066,"['Drama', 'Science Fiction', 'Thriller']",2015
We Are Your Friends,6.786,2402,6000000,11100000,tt3787590,301351,"['Drama', 'Music', 'Romance', 'Comedy']",2015
Youth,6.9,2144,13360000,2000000,tt3312830,310593,"['Comedy', 'Drama', 'Romance']",2015
