title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year
Another Round,7.6,3573,5150000,21700000,tt10288566,580175,"['Comedy', 'Drama']",2020
Ant-Man,7.067,20416,130000000,519311965,tt0478970,102899,"['Science Fiction', 'Action', 'Adventure']",2015
Ant-Man and the Wasp,6.912,13824,140000000,622674139,tt5095030,363088,"['Action', 'Adventure', 'Science Fiction']",2018
Ant-Man and the Wasp: Quantumania,6.257,5503,200000000,476071180,tt10954600,640146,"['Action', 'Adventure', 'Science Fiction']",2023
Anyone But You,6.833,2785,25000000,214891370,tt26047818,1072790,"['Romance', 'Comedy']",2023
Apocalypse Z: The Beginning of the End,6.724,1167,0,500000,tt27599851,1118031,"['Drama', 'Action', 'Horror']",2024
Aquaman,6.872,14556,160000000,1152028393,tt1477834,297802,"['Action', 'Adventure', 'Fantasy']",2018
Aquaman and the Lost Kingdom,6.566,3264,205000000,440181226,tt9663764,572802,"['Action', 'Adventure', 'Fantasy']",2023
Argylle,6.022,1592,200000000,96221061,tt15009428,848538,"['Action', 'Adventure', 'Comedy']",2024
Army of Thieves,6.813,2176,30000000,46900000,tt13024674,796499,"['Action', 'Crime', 'Comedy']",2021
Army of the Dead,6.229,4245,90000000,190700000,tt0993840,503736,"['Crime', 'Action', 'Horror']",2021
Arrival,7.622,18701,47000000,203388186,tt2543164,329865,"['Drama', 'Science Fiction', 'Mystery']",2016
Artemis Fowl,5.541,1694,125000000,0,tt3089630,475430,"['Adventure', 'Fantasy', 'Science Fiction', 'Family', 'Action']",2020
Arthur the King,7.577,855,19000000,40829138,tt10720352,618588,"['Adventure', 'Drama']",2024
Assassin's Creed,5.428,7946,125000000,240700000,tt2094766,121856,"['Action', 'Adventure', 'Science Fiction']",2016
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,"['Family', 'Comedy', 'Adventure']",2023
Asteroid City,6.442,2281,25000000,53857743,tt14230388,747188,"['Comedy', 'Drama']",2023
Atlas,6.7,1452,100000000,0,tt14856980,614933,"['Science Fiction', 'Action']",2024
Atomic Blonde,6.429,6446,30000000,100014025,tt2406566,341013,"['Action', 'Adventure', 'Thriller']",2017
Ava,5.829,2672,0,2987741,tt8784956,539885,"['Action', 'Thriller', 'Crime']",2020
Avatar: The Way of Water,7.611,13029,350000000,2330224914,tt1630029,76600,"['Action', 'Adventure', 'Science Fiction']",2022
Avengers: Age of Ultron,7.271,23847,365000000,1405403694,tt2395427,99861,"['Action', 'Adventure', 'Science Fiction']",2015
Avengers: Endgame,8.2,26916,356000000,2799439100,tt4154796,299534,"['Adventure', 'Science Fiction', 'Action']",2019
Avengers: Infinity War,8.235,31127,300000000,2052415039,tt4154756,299536,"['Adventure', 'Action', 'Science Fiction']",2018
Baby Driver,7.4,16364,34000000,226945087,tt3890160,339403,"['Action', 'Crime']",2017
Babygirl,5.729,999,20000000,60934894,tt30057084,1097549,"['Drama', 'Romance']",2024
Babylon,7.374,3528,78000000,65267446,tt10640346,615777,"['Drama', 'Comedy']",2022
Bad Boys for Life,7.128,8539,90000000,426505244,tt1502397,38700,"['Thriller', 'Action', 'Crime']",2020
Bad Boys: Ride or Die,7.346,3110,100000000,404547819,tt4919268,573435,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']",2024
Bad Moms,6.494,4175,20000000,183936074,tt4651520,376659,['Comedy'],2016
Bad Times at the El Royale,6.846,3738,32000000,31882724,tt6628394,446021,"['Thriller', 'Mystery', 'Crime', 'Drama']",2018
Barbarian,6.841,2951,4500000,45400000,tt15791034,913290,"['Horror', 'Thriller']",2022
Barbie,6.946,10451,145000000,1447138421,tt1517268,346698,"['Comedy', 'Adventure']",2023
Batman v Superman: Dawn of Justice,5.987,18589,250000000,874362803,tt2975590,209112,"['Action', 'Adventure', 'Fantasy']",2016
Baywatch,6.092,8321,69000000,177900000,tt1469304,339846,"['Comedy', 'Action', 'Crime']",2017
Beast,6.543,1662,0,56000000,tt13223398,760741,"['Thriller', 'Action', 'Horror', 'Adventure']",2022
Beating Hearts,7.194,915,37315205,36010728,tt27490099,959604,"['Romance', 'Crime', 'Drama']",2024
Beau Is Afraid,6.719,1221,35000000,12337378,tt13521006,798286,"['Comedy', 'Adventure', 'Fantasy']",2023
Beautiful Boy,7.551,2743,25000000,7700000,tt1226837,451915,['Drama'],2018
Beauty and the Beast,6.969,15816,160000000,1266115964,tt2771200,321612,"['Family', 'Fantasy', 'Romance']",2017
Beetlejuice Beetlejuice,6.962,2842,99000000,452000435,tt2049403,917496,"['Comedy', 'Fantasy', 'Horror']",2024
Before I Fall,6.963,3483,5000000,16373843,tt1691916,397837,"['Drama', 'Fantasy']",2017
Belfast,7.052,1610,11000000,49158343,tt12789558,777270,"['Drama', 'History']",2021
Beverly Hills Cop: Axel F,6.7,1325,150000000,0,tt3083016,280180,"['Action', 'Comedy', 'Crime']",2024
Bird Box,6.827,10295,19800000,0,tt2737304,405774,"['Horror', 'Thriller', 'Drama']",2018
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.892,10578,75000000,205537933,tt7713068,495764,"['Action', 'Crime']",2020
BlacKkKlansman,7.5,7863,15000000,93411426,tt7349662,487558,"['Crime', 'Comedy', 'Drama', 'History']",2018
Black Adam,6.834,6764,200000000,393452111,tt6443346,436270,"['Action', 'Adventure', 'Science Fiction']",2022
Black Mass,6.524,3483,53000000,99975678,tt1355683,261023,"['Drama', 'Crime', 'History']",2015
Black Mirror: Bandersnatch,6.762,4052,0,0,tt9495224,569547,"['Science Fiction', 'Mystery', 'Drama']",2018
Black Panther,7.367,22937,200000000,1349926083,tt1825683,284054,"['Action', 'Adventure', 'Science Fiction']",2018
Black Panther: Wakanda Forever,7.027,7098,250000000,859102154,tt9114286,505642,"['Action', 'Adventure', 'Science Fiction']",2022
Black Widow,7.188,10846,200000000,379751131,tt3480822,497698,"['Action', 'Adventure', 'Science Fiction']",2021
Blackhat,5.5,2117,70000000,17752940,tt2717822,201088,"['Crime', 'Thriller', 'Action']",2015
Blade Runner 2049,7.6,14524,150000000,259239658,tt1856101,335984,"['Science Fiction', 'Drama']",2017
Blink Twice,6.682,1664,20000000,46393906,tt14858658,840705,"['Mystery', 'Thriller']",2024
Blonde,5.927,1459,22000000,0,tt1655389,301502,['Drama'],2022
Blood Red Sky,6.813,1647,17739525,0,tt6402468,760883,"['Horror', 'Thriller', 'Action']",2021
Bloodshot,6.696,5123,42000000,39861118,tt1634106,338762,"['Action', 'Science Fiction', 'Adventure']",2020
Blue Beetle,6.66,2940,104000000,130788072,tt9362930,565770,"['Action', 'Science Fiction', 'Adventure']",2023
Bob Marley: One Love,6.648,898,70000000,180828556,tt8521778,802219,"['Music', 'History', 'Drama']",2024
Bodies Bodies Bodies,6.174,1346,3000000,13900000,tt8110652,520023,"['Horror', 'Comedy', 'Mystery']",2022
Bohemian Rhapsody,7.964,17390,52000000,910813521,tt1727824,424694,"['Music', 'Drama']",2018
Bombshell,6.783,3111,32000000,61404394,tt6394270,525661,['Drama'],2019
Bone Tomahawk,6.875,2412,1800000,475846,tt2494362,294963,"['Western', 'Horror', 'Drama']",2015
Bones and All,7.027,1518,16000000,15234907,tt10168670,791177,"['Horror', 'Romance', 'Drama']",2022
Booksmart,7.009,2751,6000000,24849029,tt1489887,505600,['Comedy'],2019
Borat Subsequent Moviefilm,6.437,2717,0,0,tt13143964,740985,['Comedy'],2020
Borderlands,5.618,1334,115000000,33017367,tt4978420,365177,"['Action', 'Science Fiction', 'Comedy']",2024
Boss Level,6.858,1783,45000000,2000000,tt7638348,513310,"['Action', 'Science Fiction', 'Thriller']",2021
Brahms: The Boy II,5.882,1269,10000000,20311536,tt9173418,555974,"['Horror', 'Mystery', 'Thriller']",2020
Bridge of Spies,7.236,7078,40000000,165478348,tt3682448,296098,"['Thriller', 'Drama']",2015
Bridget Jones's Baby,6.4,3022,35000000,211952420,tt1473832,95610,"['Drama', 'Comedy', 'Romance']",2016
Bright,6.161,5836,90000000,0,tt5519340,400106,"['Fantasy', 'Action', 'Thriller']",2017
Brightburn,6.1,3320,6000000,33224654,tt7752126,531309,"['Horror', 'Science Fiction']",2019
Brooklyn,7.31,3186,11000000,62076141,tt2381111,167073,"['Romance', 'Drama', 'History']",2015
Bullet Train,7.42,7035,90000000,239300000,tt12593682,718930,"['Action', 'Comedy', 'Thriller']",2022
Bumblebee,6.717,6429,135000000,467989645,tt4701182,424783,"['Action', 'Adventure', 'Science Fiction']",2018
Burnt,6.515,3471,20000000,36606743,tt2503944,295964,['Drama'],2015
CODA,7.903,2426,10000000,1905058,tt10366460,776503,"['Drama', 'Music', 'Romance']",2021
Call Me by Your Name,8.103,12489,3500000,43143046,tt5726616,398818,"['Romance', 'Drama']",2017
Candyman,5.998,1678,25000000,77411570,tt9347730,565028,"['Horror', 'Thriller']",2021
Captain America: Civil War,7.448,23511,250000000,1155046416,tt3498820,271110,"['Adventure', 'Action', 'Science Fiction']",2016
Captain Fantastic,7.9,6641,5000000,23123592,tt3553976,334533,"['Adventure', 'Drama']",2016
Captain Marvel,6.791,16345,152000000,1131416446,tt4154664,299537,"['Action', 'Adventure', 'Science Fiction']",2019
Carol,7.494,3844,11800000,40272135,tt2402927,258480,"['Romance', 'Drama']",2015
Carry-On,6.889,2475,47000000,0,tt21382296,1005331,"['Thriller', 'Action']",2024
Cars 3,6.855,6188,175000000,383925276,tt3606752,260514,"['Animation', 'Adventure', 'Comedy', 'Family']",2017
Central Intelligence,6.4,6173,50000000,216972543,tt1489889,302699,"['Action', 'Comedy']",2016
Challengers,6.937,2426,55000000,94182533,tt16426418,937287,"['Drama', 'Romance']",2024
Chaos Walking,6.563,2457,125000000,26508132,tt2076822,412656,"['Fantasy', 'Science Fiction', 'Adventure']",2021
Chappie,6.785,8226,49000000,104399548,tt1823672,198184,"['Crime', 'Action', 'Science Fiction']",2015
Charlie's Angels,6.391,3071,48000000,73279888,tt5033998,458897,"['Action', 'Adventure', 'Comedy']",2019
Chemical Hearts,7.32,1143,0,0,tt5843876,621013,"['Drama', 'Romance']",2020
Chip 'n Dale: Rescue Rangers,7.003,1312,70000000,623190,tt3513500,420821,"['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']",2022
Christopher Robin,7.305,2839,75000000,197744377,tt4575576,420814,"['Adventure', 'Comedy', 'Family', 'Fantasy']",2018
Cinderella,6.827,7246,95000000,543514353,tt1661199,150689,"['Romance', 'Fantasy', 'Family', 'Drama']",2015
Civil War,6.85,3919,50000000,126542249,tt17279496,929590,"['War', 'Action', 'Drama']",2024
Clifford the Big Red Dog,7.2,1779,64000000,107347356,tt2397461,585245,"['Family', 'Adventure', 'Comedy', 'Fantasy']",2021
Climax,7.045,2257,2900000,1696075,tt8359848,507076,"['Horror', 'Drama']",2018
Cocaine Bear,6.022,2284,32500000,88314672,tt14209916,804150,"['Thriller', 'Comedy', 'Crime']",2023
Coco,8.2,20409,175000000,814641172,tt2380307,354912,"['Family', 'Animation', 'Music', 'Adventure']",2017
Cold Pursuit,5.9,2710,60000000,76419755,tt5719748,438650,"['Action', 'Crime', 'Thriller', 'Drama', 'Comedy']",2019
Collateral Beauty,7.218,5479,36000000,88528280,tt4682786,345920,"['Drama', 'Romance']",2016
Color Out of Space,6.053,1595,6000000,1023510,tt5073642,548473,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",2020
Coming 2 America,6.368,2312,60000000,0,tt6802400,484718,['Comedy'],2021
Conclave,7.202,2999,20000000,115657988,tt20215234,974576,"['Drama', 'Thriller']",2024
Concussion,7.079,2649,35000000,50400000,tt3322364,321741,['Drama'],2015
Countdown,6.218,2225,6500000,48021766,tt10039344,599975,"['Horror', 'Thriller']",2019
Crawl,6.3,3262,13500000,91500000,tt8364368,511987,"['Horror', 'Thriller']",2019
Crazy Rich Asians,7.063,3839,30000000,238539198,tt3104988,455207,"['Comedy', 'Romance']",2018
Creed,7.408,7734,37000000,173600000,tt3076658,312221,"['Drama', 'Action']",2015
Creed II,7.033,5628,50000000,214200000,tt6343314,480530,"['Drama', 'Action']",2018
Creed III,7.092,2744,75000000,275300000,tt11145118,677179,"['Drama', 'Action']",2023
Crimson Peak,6.7,5109,55000000,74700000,tt2554274,201085,"['Horror', 'Mystery', 'Romance']",2015
Cruella,7.983,9781,200000000,233503234,tt3228774,337404,"['Comedy', 'Crime', 'Adventure']",2021
DC League of Super-Pets,7.179,1666,90000000,203000000,tt8912936,539681,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']",2022
Da 5 Bloods,6.451,1131,45000000,0,tt9777644,581859,"['War', 'Drama']",2020
Daddy's Home,6.292,3321,50000000,242786137,tt1528854,274167,['Comedy'],2015
Daddy's Home 2,6.305,2645,69000000,180613180,tt5657846,419680,['Comedy'],2017
Damsel,7.0,2585,60000000,5000,tt13452446,763215,"['Fantasy', 'Action', 'Adventure']",2024
Dark Phoenix,5.963,6842,200000000,252442974,tt6565702,320288,"['Science Fiction', 'Action', 'Adventure']",2019
Dark Waters,7.532,2376,20000000,13601384,tt9071322,552178,"['Drama', 'Thriller']",2019
Darkest Hour,7.352,5345,30000000,150847207,tt4555426,399404,"['Drama', 'History']",2017
Day Shift,6.753,2098,100000000,0,tt13314558,755566,"['Action', 'Fantasy', 'Horror', 'Comedy', 'Thriller']",2022
Deadpool,7.6,32058,58000000,782837347,tt1431045,293660,"['Action', 'Adventure', 'Comedy']",2016
Deadpool & Wolverine,7.57,7919,200000000,1338073645,tt6263850,533535,"['Action', 'Comedy', 'Science Fiction']",2024
Deadpool 2,7.489,18715,110000000,785896632,tt5463162,383498,"['Action', 'Comedy', 'Adventure']",2018
Death Note,4.264,4049,40000000,0,tt1241317,351460,"['Crime', 'Fantasy', 'Horror']",2017
Death Wish,6.202,2666,30000000,34017028,tt1137450,395990,"['Action', 'Crime', 'Thriller', 'Drama']",2018
Death on the Nile,6.422,3976,90000000,137307235,tt7657566,505026,"['Mystery', 'Crime', 'Thriller']",2022
Decision to Leave,7.336,1368,0,16914773,tt12477480,705996,"['Thriller', 'Mystery', 'Romance']",2022
Deep Water,5.8,1529,49000000,0,tt2180339,619979,"['Drama', 'Mystery', 'Thriller']",2022
Deepwater Horizon,6.886,4734,110000000,121790376,tt1860357,296524,"['Drama', 'Action']",2016
