title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
A Quiet Place,7.396,14890,17000000,340955294,tt6644200,447332,Drama,2018,No,1.25,21250000.0,426194117.5
A Quiet Place,7.396,14890,17000000,340955294,tt6644200,447332,Science Fiction,2018,No,1.25,21250000.0,426194117.5
A Quiet Place Part II,7.451,7073,55000000,297372261,tt8332922,520763,Science Fiction,2021,No,1.16,63799999.99999999,344951822.76
A Quiet Place Part II,7.451,7073,55000000,297372261,tt8332922,520763,Thriller,2021,No,1.16,63799999.99999999,344951822.76
A Quiet Place Part II,7.451,7073,55000000,297372261,tt8332922,520763,Horror,2021,No,1.16,63799999.99999999,344951822.76
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,762441,Horror,2024,No,1.0,67000000.0,261907653.0
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,762441,Science Fiction,2024,No,1.0,67000000.0,261907653.0
A Quiet Place: Day One,6.684,3018,67000000,261907653,tt13433802,762441,Thriller,2024,No,1.0,67000000.0,261907653.0
A Rainy Day in New York,6.486,2320,25000000,23805899,tt7139936,475303,Comedy,2019,No,1.23,30750000.0,29281255.77
A Rainy Day in New York,6.486,2320,25000000,23805899,tt7139936,475303,Romance,2019,No,1.23,30750000.0,29281255.77
A Real Pain,6.76,1203,3000000,24856027,tt21823606,1013850,Comedy,2024,No,1.0,3000000.0,24856027.0
A Real Pain,6.76,1203,3000000,24856027,tt21823606,1013850,Drama,2024,No,1.0,3000000.0,24856027.0
A Silent Voice: The Movie,8.386,4268,0,30819442,tt5323662,378064,Animation,2016,No,1.31,0.0,40373469.02
A Silent Voice: The Movie,8.386,4268,0,30819442,tt5323662,378064,Drama,2016,No,1.31,0.0,40373469.02
A Silent Voice: The Movie,8.386,4268,0,30819442,tt5323662,378064,Romance,2016,No,1.31,0.0,40373469.02
A Simple Favor,6.638,4458,20000000,97644617,tt7040874,484247,Thriller,2018,No,1.25,25000000.0,122055771.25
A Simple Favor,6.638,4458,20000000,97644617,tt7040874,484247,Comedy,2018,No,1.25,25000000.0,122055771.25
A Simple Favor,6.638,4458,20000000,97644617,tt7040874,484247,Mystery,2018,No,1.25,25000000.0,122055771.25
A Star Is Born,7.5,11994,36000000,436388866,tt1517451,332562,Music,2018,No,1.25,45000000.0,545486082.5
A Star Is Born,7.5,11994,36000000,436388866,tt1517451,332562,Drama,2018,No,1.25,45000000.0,545486082.5
A Star Is Born,7.5,11994,36000000,436388866,tt1517451,332562,Romance,2018,No,1.25,45000000.0,545486082.5
A Whisker Away,7.881,1449,0,0,tt11958344,667520,Animation,2020,No,1.21,0.0,0.0
A Whisker Away,7.881,1449,0,0,tt11958344,667520,Drama,2020,No,1.21,0.0,0.0
A Whisker Away,7.881,1449,0,0,tt11958344,667520,Romance,2020,No,1.21,0.0,0.0
A Whisker Away,7.881,1449,0,0,tt11958344,667520,Fantasy,2020,No,1.21,0.0,0.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,Horror,2024,No,1.0,28000000.0,43015969.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,Thriller,2024,No,1.0,28000000.0,43015969.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,Crime,2024,No,1.0,28000000.0,43015969.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,Action,2024,No,1.0,28000000.0,43015969.0
Abigail,6.7,1776,28000000,43015969,tt27489557,1111873,Comedy,2024,No,1.0,28000000.0,43015969.0
Ad Astra,6.1,6966,87500000,127461872,tt2935510,419704,Science Fiction,2019,No,1.23,107625000.0,156778102.56
Ad Astra,6.1,6966,87500000,127461872,tt2935510,419704,Drama,2019,No,1.23,107625000.0,156778102.56
Adrift,6.838,2649,35000000,59945012,tt6306064,429300,Thriller,2018,No,1.25,43750000.0,74931265.0
Adrift,6.838,2649,35000000,59945012,tt6306064,429300,Romance,2018,No,1.25,43750000.0,74931265.0
Adrift,6.838,2649,35000000,59945012,tt6306064,429300,Adventure,2018,No,1.25,43750000.0,74931265.0
After,7.115,8434,14000000,69497587,tt4126476,537915,Romance,2019,No,1.23,17220000.0,85482032.01
After,7.115,8434,14000000,69497587,tt4126476,537915,Drama,2019,No,1.23,17220000.0,85482032.01
After Ever Happy,6.79,1325,14000000,19238073,tt13070038,744276,Romance,2022,No,1.07,14980000.0,20584738.11
After Ever Happy,6.79,1325,14000000,19238073,tt13070038,744276,Drama,2022,No,1.07,14980000.0,20584738.11
After We Collided,7.163,5413,14000000,47990414,tt10362466,613504,Romance,2020,No,1.21,16940000.0,58068400.94
After We Collided,7.163,5413,14000000,47990414,tt10362466,613504,Drama,2020,No,1.21,16940000.0,58068400.94
After We Fell,7.023,2687,14000000,21753705,tt13069986,744275,Romance,2021,No,1.16,16239999.999999998,25234297.799999997
After We Fell,7.023,2687,14000000,21753705,tt13069986,744275,Drama,2021,No,1.16,16239999.999999998,25234297.799999997
Aftersun,7.675,1673,0,7834405,tt19770238,965150,Drama,2022,No,1.07,0.0,8382813.350000001
Air,7.3,2196,80000000,90100000,tt16419074,964980,Drama,2023,No,1.03,82400000.0,92803000.0
Air,7.3,2196,80000000,90100000,tt16419074,964980,History,2023,No,1.03,82400000.0,92803000.0
Aladdin,7.093,10398,183000000,1097831681,tt6139732,420817,Adventure,2019,No,1.23,225090000.0,1350332967.6299999
Aladdin,7.093,10398,183000000,1097831681,tt6139732,420817,Fantasy,2019,No,1.23,225090000.0,1350332967.6299999
Aladdin,7.093,10398,183000000,1097831681,tt6139732,420817,Romance,2019,No,1.23,225090000.0,1350332967.6299999
Aladdin,7.093,10398,183000000,1097831681,tt6139732,420817,Family,2019,No,1.23,225090000.0,1350332967.6299999
Alice Through the Looking Glass,6.56,6630,170000000,299457024,tt2567026,241259,Adventure,2016,No,1.31,222700000.0,392288701.44
Alice Through the Looking Glass,6.56,6630,170000000,299457024,tt2567026,241259,Family,2016,No,1.31,222700000.0,392288701.44
Alice Through the Looking Glass,6.56,6630,170000000,299457024,tt2567026,241259,Fantasy,2016,No,1.31,222700000.0,392288701.44
Alien: Covenant,6.162,9116,97000000,240891763,tt2316204,126889,Horror,2017,No,1.28,124160000.0,308341456.64
Alien: Covenant,6.162,9116,97000000,240891763,tt2316204,126889,Science Fiction,2017,No,1.28,124160000.0,308341456.64
Alien: Covenant,6.162,9116,97000000,240891763,tt2316204,126889,Thriller,2017,No,1.28,124160000.0,308341456.64
Alien: Romulus,7.175,4090,80000000,350865342,tt18412256,945961,Horror,2024,No,1.0,80000000.0,350865342.0
Alien: Romulus,7.175,4090,80000000,350865342,tt18412256,945961,Science Fiction,2024,No,1.0,80000000.0,350865342.0
Alita: Battle Angel,7.244,9669,170000000,405000000,tt0437086,399579,Action,2019,No,1.23,209100000.0,498150000.0
Alita: Battle Angel,7.244,9669,170000000,405000000,tt0437086,399579,Science Fiction,2019,No,1.23,209100000.0,498150000.0
Alita: Battle Angel,7.244,9669,170000000,405000000,tt0437086,399579,Adventure,2019,No,1.23,209100000.0,498150000.0
All Quiet on the Western Front,7.722,4376,20000000,0,tt1016150,49046,War,2022,Yes,1.07,21400000.0,0.0
All Quiet on the Western Front,7.722,4376,20000000,0,tt1016150,49046,History,2022,Yes,1.07,21400000.0,0.0
All Quiet on the Western Front,7.722,4376,20000000,0,tt1016150,49046,Drama,2022,Yes,1.07,21400000.0,0.0
All the Bright Places,7.637,2950,0,0,tt3907584,342470,Romance,2020,No,1.21,0.0,0.0
All the Bright Places,7.637,2950,0,0,tt3907584,342470,Drama,2020,No,1.21,0.0,0.0
Allegiant,6.107,6800,110000000,179246868,tt3410834,262504,Adventure,2016,No,1.31,144100000.0,234813397.08
Allegiant,6.107,6800,110000000,179246868,tt3410834,262504,Science Fiction,2016,No,1.31,144100000.0,234813397.08
Allegiant,6.107,6800,110000000,179246868,tt3410834,262504,Action,2016,No,1.31,144100000.0,234813397.08
Allegiant,6.107,6800,110000000,179246868,tt3410834,262504,Mystery,2016,No,1.31,144100000.0,234813397.08
Allied,6.8,4664,106000000,119520023,tt3640424,369885,Action,2016,No,1.31,138860000.0,156571230.13
Allied,6.8,4664,106000000,119520023,tt3640424,369885,Drama,2016,No,1.31,138860000.0,156571230.13
Allied,6.8,4664,106000000,119520023,tt3640424,369885,War,2016,No,1.31,138860000.0,156571230.13
Allied,6.8,4664,106000000,119520023,tt3640424,369885,Romance,2016,No,1.31,138860000.0,156571230.13
Allied,6.8,4664,106000000,119520023,tt3640424,369885,Thriller,2016,No,1.31,138860000.0,156571230.13
Aloha,5.512,2110,37000000,26250020,tt1243974,222936,Drama,2015,No,1.32,48840000.0,34650026.4
Aloha,5.512,2110,37000000,26250020,tt1243974,222936,Comedy,2015,No,1.32,48840000.0,34650026.4
Aloha,5.512,2110,37000000,26250020,tt1243974,222936,Romance,2015,No,1.32,48840000.0,34650026.4
Alpha,6.525,2651,51000000,99630675,tt4244998,399360,Adventure,2018,No,1.25,63750000.0,124538343.75
Alpha,6.525,2651,51000000,99630675,tt4244998,399360,Drama,2018,No,1.25,63750000.0,124538343.75
Ambulance,6.636,2302,40000000,52303589,tt4998632,763285,Thriller,2022,No,1.07,42800000.0,55964840.230000004
Ambulance,6.636,2302,40000000,52303589,tt4998632,763285,Action,2022,No,1.07,42800000.0,55964840.230000004
Ambulance,6.636,2302,40000000,52303589,tt4998632,763285,Crime,2022,No,1.07,42800000.0,55964840.230000004
American Assassin,6.411,3149,33000000,67200000,tt1961175,415842,Action,2017,No,1.28,42240000.0,86016000.0
American Assassin,6.411,3149,33000000,67200000,tt1961175,415842,Adventure,2017,No,1.28,42240000.0,86016000.0
American Assassin,6.411,3149,33000000,67200000,tt1961175,415842,Thriller,2017,No,1.28,42240000.0,86016000.0
American Fiction,7.283,1209,16000000,22483370,tt23561236,1056360,Comedy,2023,No,1.03,16480000.0,23157871.1
American Fiction,7.283,1209,16000000,22483370,tt23561236,1056360,Drama,2023,No,1.03,16480000.0,23157871.1
American Made,6.895,4788,50000000,133511855,tt3532216,337170,Action,2017,No,1.28,64000000.0,170895174.4
American Made,6.895,4788,50000000,133511855,tt3532216,337170,Comedy,2017,No,1.28,64000000.0,170895174.4
American Made,6.895,4788,50000000,133511855,tt3532216,337170,Crime,2017,No,1.28,64000000.0,170895174.4
American Made,6.895,4788,50000000,133511855,tt3532216,337170,Drama,2017,No,1.28,64000000.0,170895174.4
American Ultra,6.09,2876,28000000,27100000,tt3316948,261392,Action,2015,No,1.32,36960000.0,35772000.0
American Ultra,6.09,2876,28000000,27100000,tt3316948,261392,Comedy,2015,No,1.32,36960000.0,35772000.0
Amsterdam,6.063,1718,80000000,31245810,tt10304142,664469,Mystery,2022,No,1.07,85600000.0,33433016.700000003
Amsterdam,6.063,1718,80000000,31245810,tt10304142,664469,Comedy,2022,No,1.07,85600000.0,33433016.700000003
Amsterdam,6.063,1718,80000000,31245810,tt10304142,664469,Drama,2022,No,1.07,85600000.0,33433016.700000003
Anatomy of a Fall,7.539,3006,6700000,35634133,tt17009710,915935,Thriller,2023,No,1.03,6901000.0,36703156.99
