title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner
Annihilation,6.434,9077,40000000,43070915,tt2798920,300668,"['Science Fiction', 'Horror']",2018,No
Anora,7.0,2729,6000000,56286295,tt28607951,1064213,"['Drama', 'Comedy', 'Romance']",2024,Yes
Another Round,7.635,3576,5150000,21700000,tt10288566,580175,"['Comedy', 'Drama']",2020,No
Ant-Man,7.1,20422,130000000,519311965,tt0478970,102899,"['Science Fiction', 'Action', 'Adventure']",2015,No
Ant-Man and the Wasp,6.912,13827,140000000,622674139,tt5095030,363088,"['Action', 'Adventure', 'Science Fiction']",2018,No
Ant-Man and the Wasp: Quantumania,6.256,5507,200000000,476071180,tt10954600,640146,"['Action', 'Adventure', 'Science Fiction']",2023,No
Anyone But You,6.831,2788,25000000,214891370,tt26047818,1072790,"['Romance', 'Comedy']",2023,No
Apocalypse Z: The Beginning of the End,6.723,1168,0,500000,tt27599851,1118031,"['Drama', 'Action', 'Horror']",2024,No
Aquaman,6.872,14563,160000000,1152028393,tt1477834,297802,"['Action', 'Adventure', 'Fantasy']",2018,No
Aquaman and the Lost Kingdom,6.6,3268,205000000,440181226,tt9663764,572802,"['Action', 'Adventure', 'Fantasy']",2023,No
Argylle,6.0,1594,200000000,96221061,tt15009428,848538,"['Action', 'Adventure', 'Comedy']",2024,No
Army of Thieves,6.813,2178,30000000,46900000,tt13024674,796499,"['Action', 'Crime', 'Comedy']",2021,No
Army of the Dead,6.229,4247,90000000,190700000,tt0993840,503736,"['Crime', 'Action', 'Horror']",2021,No
Arrival,7.622,18712,47000000,203388186,tt2543164,329865,"['Drama', 'Science Fiction', 'Mystery']",2016,No
Artemis Fowl,5.535,1697,125000000,0,tt3089630,475430,"['Adventure', 'Fantasy', 'Science Fiction', 'Family', 'Action']",2020,No
Arthur the King,7.577,855,19000000,40829138,tt10720352,618588,"['Adventure', 'Drama']",2024,No
Assassin's Creed,5.429,7953,125000000,240700000,tt2094766,121856,"['Action', 'Adventure', 'Science Fiction']",2016,No
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,643215,"['Family', 'Comedy', 'Adventure']",2023,No
Asteroid City,6.441,2286,25000000,53857743,tt14230388,747188,"['Comedy', 'Drama']",2023,No
Atlas,6.704,1454,100000000,0,tt14856980,614933,"['Science Fiction', 'Action']",2024,No
Atomic Blonde,6.429,6448,30000000,100014025,tt2406566,341013,"['Action', 'Adventure', 'Thriller']",2017,No
Ava,5.828,2674,0,2987741,tt8784956,539885,"['Action', 'Thriller', 'Crime']",2020,No
Avatar: The Way of Water,7.61,13043,350000000,2330224914,tt1630029,76600,"['Action', 'Adventure', 'Science Fiction']",2022,No
Avengers: Age of Ultron,7.271,23853,365000000,1405403694,tt2395427,99861,"['Action', 'Adventure', 'Science Fiction']",2015,No
