title,genre_ids,vote_average,vote_count,release_year,id
Conclave,"[18, 53]",7.201,3003,2024,974576
The Mother,"[28, 53]",6.625,1353,2023,552688
No One Will Save You,"[27, 878]",6.679,1338,2023,820609
The Three Musketeers: D'Artagnan,"[12, 28, 18, 36]",6.938,1322,2023,796185
When Evil Lurks,"[27, 53]",7.209,1306,2023,744857
Retribution,"[53, 28, 12]",6.564,1298,2023,762430
Leo,"[16, 35, 10751]",7.392,1282,2023,1075794
Nimona,"[16, 10751, 28, 878, 12, 14, 35]",7.868,1271,2023,961323
Dogman,"[28, 18, 80]",7.874,1267,2023,944401
Knights of the Zodiac,"[14, 28, 12, 878]",6.3,1241,2023,455476
The Wonderful Story of Henry Sugar,"[35, 14, 12]",7.239,1232,2023,923939
Beau Is Afraid,"[35, 12, 14]",6.718,1225,2023,798286
To Catch a Killer,"[53, 80, 18]",6.864,1209,2023,605886
American Fiction,"[35, 18]",7.283,1209,2023,1056360
The Exorcist: Believer,"[27, 53]",5.8,1197,2023,807172
Missing,"[18, 9648, 53]",7.41,1188,2023,768362
Haunted Mansion,"[35, 18, 14]",6.439,1169,2023,616747
Kandahar,"[28, 53, 10752]",6.808,1162,2023,717930
Ferrari,"[36, 18]",6.4,1162,2023,365620
Dream Scenario,"[35, 14]",6.651,1160,2023,823482
Asterix & Obelix: The Middle Kingdom,"[10751, 35, 12]",4.837,1119,2023,643215
Past Lives,"[18, 10749]",7.72,2084,2023,666277
Ghosted,"[28, 35, 10749]",6.916,2040,2023,868759
Renfield,"[35, 14, 27]",6.46,1997,2023,649609
Insidious: The Red Door,"[27, 53]",6.534,1871,2023,614479
Murder Mystery 2,"[9648, 35, 80]",6.4,1857,2023,638974
Heart of Stone,"[53, 28]",6.758,1820,2023,724209
The Last Voyage of the Demeter,"[27, 14]",6.748,1816,2023,635910
Operation Fortune: Ruse de Guerre,"[28, 35, 53]",6.466,1773,2023,739405
Expend4bles,"[28, 12, 53]",6.09,1764,2023,299054
Wish,"[16, 10751, 14, 12]",6.272,1687,2023,1022796
Perfect Days,[18],7.773,1656,2023,976893
The Family Plan,"[28, 35, 10751]",7.242,1651,2023,1029575
Tetris,"[53, 36, 18]",7.663,1569,2023,726759
