title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
Transformers One,8.023,1434,75000000,129408392,tt8864596,698687,"['Animation', 'Science Fiction', 'Adventure', 'Family']",2024,No,1.0,75000000.0,129408392.0
Transformers: Rise of the Beasts,7.202,5071,195000000,441381193,tt5090568,667538,"['Science Fiction', 'Adventure', 'Action']",2023,No,1.03,200850000.0,454622628.79
Transformers: The Last Knight,6.056,6520,217000000,605425157,tt3371366,335988,"['Action', 'Adventure', 'Science Fiction']",2017,No,1.28,277760000.0,774944200.96
Trap,6.3,2515,30000000,83677281,tt26753003,1032823,"['Crime', 'Horror', 'Mystery', 'Thriller']",2024,No,1.0,30000000.0,83677281.0
Triangle of Sadness,7.027,2628,15600000,24733572,tt7322224,497828,"['Comedy', 'Drama']",2022,No,1.07,16692000.000000002,26464922.040000003
Triple Frontier,6.323,3402,0,0,tt1488606,399361,"['Action', 'Thriller', 'Crime', 'Adventure']",2019,No,1.23,0.0,0.0
Troll,6.583,1832,0,0,tt11116912,736526,"['Fantasy', 'Action', 'Adventure']",2022,No,1.07,0.0,0.0
Trolls,6.63,3725,125000000,347337803,tt1679335,136799,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy', 'Music']",2016,No,1.31,163750000.0,455012521.93
Trolls World Tour,7.256,2219,90000000,49276818,tt6587640,446893,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music']",2020,No,1.21,108900000.0,59624949.78
Truth or Dare,5.94,4147,3500000,95330493,tt6772950,460019,"['Thriller', 'Horror']",2018,No,1.25,4375000.0,119163116.25
Turning Red,7.329,5589,175000000,0,tt8097030,508947,"['Animation', 'Family', 'Comedy', 'Fantasy']",2022,No,1.07,187250000.0,0.0
Twisters,6.791,2702,155000000,372262265,tt12584954,718821,"['Action', 'Thriller']",2024,No,1.0,155000000.0,372262265.0
Two Is a Family,7.731,3022,0,1447740,tt5078204,382591,"['Drama', 'Comedy']",2016,No,1.31,0.0,1896539.4000000001
TÁR,7.09,1426,35000000,29048571,tt14444726,817758,"['Music', 'Drama']",2022,No,1.07,37450000.0,31081970.970000003
Uglies,5.753,853,0,0,tt13186604,748167,"['Science Fiction', 'Adventure', 'Action']",2024,No,1.0,0.0,0.0
Uncharted,6.886,6488,120000000,407141258,tt1464335,335787,"['Action', 'Adventure']",2022,No,1.07,128400000.00000001,435641146.06
